round	firstVariant	application	metric	quantile	baselineValue	candidateValue	maximumRegression	regressionPassed	direction	relativeDifference
0	baseline	holoscript_lif	total	p99Ms	1.2895579999999427	1.216271000000006	0.05	True	forward	-0.05683110026841742
0	baseline	holoscript_lif	deviceStartupMs	p50Ms	56.19512200000001	54.73028400000001	0.05	True	reverse	-0.02606699563709458
0	baseline	holoscript_lif	deviceStartupMs	p95Ms	63.686081	61.904466	0.05	True	reverse	-0.027974951072904042
0	baseline	holoscript_lif	deviceStartupMs	p99Ms	63.686081	61.904466	0.05	True	reverse	-0.027974951072904042
0	baseline	holoscript_lif	preparationMs	p50Ms	5.616277999999994	5.220392000000004	0.05	True	reverse	-0.070489032060021
0	baseline	holoscript_lif	preparationMs	p95Ms	9.521935000000013	8.255059000000017	0.05	True	reverse	-0.1330481672055096
0	baseline	holoscript_lif	preparationMs	p99Ms	9.521935000000013	8.255059000000017	0.05	True	reverse	-0.1330481672055096
0	baseline	holoscript_lif	teardownMs	p50Ms	2.32024100000001	2.2819480000000567	0.05	True	reverse	-0.016503889035644592
0	baseline	holoscript_lif	teardownMs	p95Ms	2.8812670000000935	2.705235000000016	0.05	True	reverse	-0.06109534451339349
0	baseline	holoscript_lif	teardownMs	p99Ms	2.8812670000000935	2.705235000000016	0.05	True	reverse	-0.06109534451339349
0	baseline	holoscript_lif	coldWallMs	p50Ms	4.877778000000006	5.0917300000000125	0.05	True	reverse	0.04386259481263921
0	baseline	holoscript_lif	coldWallMs	p95Ms	10.014772999999991	8.67310599999999	0.05	True	reverse	-0.1339687879096213
0	baseline	holoscript_lif	coldWallMs	p99Ms	10.014772999999991	8.67310599999999	0.05	True	reverse	-0.1339687879096213
0	baseline	holoscript_lif	peakProcessRssBytes	p50Ms	159719424	158265344	0.1	True	reverse	-0.00910396471251984
0	baseline	holoscript_lif	peakProcessRssBytes	p95Ms	164274176	162443264	0.1	True	reverse	-0.01114546451902454
0	baseline	holoscript_lif	peakProcessRssBytes	p99Ms	164274176	162443264	0.1	True	reverse	-0.01114546451902454
0	baseline	holoscript_lif	allocatedBufferBytes	p50Ms	2097216	2097216	0.1	True	reverse	0.0
0	baseline	holoscript_lif	allocatedBufferBytes	p95Ms	2097216	2097216	0.1	True	reverse	0.0
0	baseline	holoscript_lif	allocatedBufferBytes	p99Ms	2097216	2097216	0.1	True	reverse	0.0
0	baseline	holoscript_lif	coldCpuMs	p50Ms	4.471	4.784	0.1	True	reverse	0.07000670990829794
